id,station_id,dist
ACW00011604,78861,199.60878333
AE000041196,41196,329.31940325
AEM00041217,41217,347.45868057
AF000040930,40930,370.45052464
AFM00040948,40948,875.12891223
AG000060390,60390,107.39606179
AG000060590,60590,766.47508915
AGE00147710,60400,0.00851653
AGE00147720,60550,955.89264721
AGM00060360,60360,619.67090709
AGM00060367,60367,0.25457162
AGM00060369,60369,332.97072586
AGM00060387,60387,332.72514331
AGM00060403,60403,427.69195831
AGM00060419,60419,486.65010765
AGM00060444,60444,603.84017249
AGM00060452,60452,429.27529156
AGM00060461,60461,0.08467826
AGM00060467,60467,332.65544148
AGM00060471,60471,430.49774206
AGM00060506,60506,0.16930647
AGM00060514,60514,430.50191267
AGM00060515,60515,639.16352744
AGM00060518,60518,0.08467291
AGM00060522,60522,914.87364993
AGM00060536,60536,332.69601123
AGM00060540,60540,276.66639618
AGM00060557,60557,332.77850304
AGM00060560,60560,332.70103754
AGM00060602,60602,857.86979292
AGM00060686,60686,332.17253639
AJ000037661,37661,631.74590094
AJ000037675,37675,723.29584201
AJ000037735,37735,605.43021521
AJ000037747,37747,863.95559531
AJ000037907,37907,674.05772191
AJ000037936,37936,576.13272046
ALE00100939,13615,750.52779188
ALE00108905,13600,428.42221102
AM000037683,37683,333.03549131
AM000037686,37686,937.33472849
AM000037704,37704,123.24682112
AM000037719,37719,789.86222259
AM000037774,37774,854.02109463
AM000037897,37897,954.91946723
AM000037958,37958,806.52424413
AM000037959,37959,773.22869138
AQW00061705,91765,855.10206482
AR000000011,87393,345.3975441
AR000087007,87007,0.1630224
AR000087065,87065,430.49419044
AR000087078,87078,523.05888229
AR000087129,87129,338.0828509
AR000087155,87155,824.99736357
AR000087217,87217,360.25885864
AR000087257,87257,392.43810989
AR000087344,87344,102.91405869
AR000087374,87374,488.94610145
AR000087418,87418,990.33971991
AR000087623,87623,667.35607739
AR000087692,87692,424.78155351
AR000087715,87715,801.30348213
AR000087925,87925,239.38185589
AR000870470,87047,693.04645806
AR000873050,87305,709.54737831
AR000875850,87585,225.25809597
AR000877500,87748,647.5345073
ARM00087213,87213,442.32622838
ARM00087244,87244,120.21654845
ARM00087320,87320,491.91100147
ARM00087349,87349,437.70834502
ARM00087395,87396,438.35954323
ARM00087416,87416,325.09860236
ARM00087436,87436,410.84822744
ARM00087448,87448,881.01593532
ARM00087506,87506,822.3131446
ARM00087532,87532,537.88562541
ARM00087550,87550,320.06263261
ARM00087593,87593,484.04465584
ARM00087596,87596,793.22567456
ARM00087641,87641,427.47863763
ARM00087643,87643,426.80935313
ARM00087648,87648,698.56483562
ARM00087736,87736,10.84785211
ARM00087774,87774,307.40388156
ARM00087852,87852,758.15424003
ARM00087880,87880,490.75566884
ARM00087903,87903,631.28659576
ASM00094275,94275,91.56306439
ASM00094940,94940,580.84780401
ASM00094998,94998,838.42798511
ASN00001009,94208,862.97116439
ASN00001013,94214,897.74157986
ASN00002012,94212,502.18374607
ASN00003032,95205,947.98533426
ASN00003057,94201,931.40111219
ASN00004020,94315,795.83684187
ASN00004084,94311,549.00764434
ASN00004097,95308,328.54193501
ASN00007058,95315,791.6557668
ASN00007062,94317,872.9437559
ASN00007178,95310,320.79805335
ASN00008051,94403,395.71974299
ASN00008225,94414,284.35553312
ASN00009034,94608,311.53485413
ASN00009053,94612,359.12697962
ASN00009131,95600,904.25674524
ASN00009192,95605,619.82417707
ASN00009193,94603,792.85597601
ASN00009518,94601,989.22146777
ASN00009617,94616,185.8293443
ASN00009741,94802,245.43571084
ASN00010035,94626,301.85528707
ASN00010144,94623,862.95908105
ASN00010524,94625,732.16048291
ASN00010612,95626,640.43098457
ASN00010648,94624,547.83733818
ASN00011000,94642,309.83566627
ASN00012065,94639,218.20654252
